월(Monthly),구분,시군구,LEVEL1,값,증감,증감율,구성비,누계,누계구성비
2015-03,경기,김포시,미분양현황,355,355,355,0,0,0
2015-04,경기,김포시,미분양현황,261,261,261,0,0,0
2015-05,경기,김포시,미분양현황,170,170,170,0,0,0
2015-06,경기,김포시,미분양현황,518,518,518,0,0,0
2015-07,경기,김포시,미분양현황,330,330,330,0,0,0
2015-08,경기,김포시,미분양현황,238,238,238,0,0,0
2015-09,경기,김포시,미분양현황,238,238,238,0,0,0
2015-10,경기,김포시,미분양현황,2008,2008,2008,0,0,0
2015-11,경기,김포시,미분양현황,2994,2994,2994,0,0,0
2015-12,경기,김포시,미분양현황,2708,2708,2708,0,0,0
2016-11,경기,김포시,미분양현황,355,355,355,0,0,0
2016-01,경기,김포시,미분양현황,2696,2696,2696,0,0,0
2016-02,경기,김포시,미분양현황,2377,2377,2377,0,0,0
2016-03,경기,김포시,미분양현황,1952,1952,1952,0,0,0
2016-04,경기,김포시,미분양현황,1575,1575,1575,0,0,0
2016-05,경기,김포시,미분양현황,1326,1326,1326,0,0,0
2016-06,경기,김포시,미분양현황,1157,1157,1157,0,0,0
2016-07,경기,김포시,미분양현황,935,935,935,0,0,0
2016-08,경기,김포시,미분양현황,675,675,675,0,0,0
2016-09,경기,김포시,미분양현황,194,194,194,0,0,0
2016-10,경기,김포시,미분양현황,132,132,132,0,0,0
2016-12,경기,김포시,미분양현황,270,270,270,0,0,0
2017-01,경기,김포시,미분양현황,219,219,219,0,0,0
2017-02,경기,김포시,미분양현황,153,153,153,0,0,0
2017-03,경기,김포시,미분양현황,88,88,88,0,0,0
2017-04,경기,김포시,미분양현황,47,47,47,0,0,0
2017-05,경기,김포시,미분양현황,29,29,29,0,0,0
2017-06,경기,김포시,미분양현황,0,0,0,0,0,0
2017-07,경기,김포시,미분양현황,0,0,0,0,0,0
2017-08,경기,김포시,미분양현황,0,0,0,0,0,0
2017-09,경기,김포시,미분양현황,0,0,0,0,0,0
2017-10,경기,김포시,미분양현황,388,388,388,0,0,0
2017-11,경기,김포시,미분양현황,181,181,181,0,0,0
2017-12,경기,김포시,미분양현황,81,81,81,0,0,0
2018-01,경기,김포시,미분양현황,374,374,374,0,0,0
2018-02,경기,김포시,미분양현황,741,741,741,0,0,0
2018-03,경기,김포시,미분양현황,538,538,538,0,0,0
2018-04,경기,김포시,미분양현황,1436,1436,1436,0,0,0
2018-05,경기,김포시,미분양현황,1295,1295,1295,0,0,0
2018-06,경기,김포시,미분양현황,1075,1075,1075,0,0,0
2018-07,경기,김포시,미분양현황,945,945,945,0,0,0
2018-08,경기,김포시,미분양현황,772,772,772,0,0,0
2018-09,경기,김포시,미분양현황,375,375,375,0,0,0
2018-10,경기,김포시,미분양현황,91,91,91,0,0,0
2018-11,경기,김포시,미분양현황,47,47,47,0,0,0
2018-12,경기,김포시,미분양현황,44,44,44,0,0,0
2019-01,경기,김포시,미분양현황,42,42,42,0,0,0
2019-02,경기,김포시,미분양현황,40,40,40,0,0,0
2019-03,경기,김포시,미분양현황,36,36,36,0,0,0
2019-04,경기,김포시,미분양현황,35,35,35,0,0,0
2019-05,경기,김포시,미분양현황,35,35,35,0,0,0
2019-07,경기,김포시,미분양현황,36,36,36,0,0,0
2019-06,경기,김포시,미분양현황,35,35,35,0,0,0
2019-08,경기,김포시,미분양현황,36,36,36,0,0,0
2019-09,경기,김포시,미분양현황,39,39,39,0,0,0
2019-10,경기,김포시,미분양현황,36,36,36,0,0,0
